epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4791.11,0.01032,1.53143,1.46046,0.54305,0.56737,0.50733,0.27876,0.01212,1.94061,1.85785,0.000848969,0.000848969,0.000848969
43,4904.36,0.01049,1.52763,1.47621,0.57427,0.58666,0.54071,0.2857,0.01214,1.92814,1.87957,0.000834822,0.000834822,0.000834822
44,5018.64,0.01023,1.48018,1.45932,0.54334,0.63019,0.5573,0.29664,0.01195,1.88913,1.83528,0.000820675,0.000820675,0.000820675
45,5133.15,0.01029,1.49769,1.4761,0.62066,0.5863,0.55955,0.30722,0.01188,1.83233,1.8394,0.000806528,0.000806528,0.000806528
46,5247.44,0.01014,1.45639,1.44169,0.54258,0.60623,0.53359,0.28901,0.01226,1.81813,1.90129,0.00079238,0.00079238,0.00079238
47,5361.42,0.01019,1.44499,1.44397,0.59202,0.59992,0.54887,0.29269,0.01204,1.89225,1.85,0.000778233,0.000778233,0.000778233
48,5475.93,0.01028,1.45744,1.45686,0.57845,0.56957,0.53835,0.29306,0.01183,1.863,1.82066,0.000764086,0.000764086,0.000764086
49,5589.71,0.01012,1.4368,1.44031,0.57844,0.58303,0.53521,0.28808,0.01206,1.98326,1.85149,0.000749939,0.000749939,0.000749939
50,5703.25,0.01017,1.42923,1.44538,0.58245,0.59371,0.54207,0.29012,0.01194,1.86409,1.85291,0.000735792,0.000735792,0.000735792
51,5816.73,0.01016,1.44787,1.45421,0.57286,0.57347,0.5425,0.29847,0.0121,1.88549,1.85355,0.000721645,0.000721645,0.000721645
52,5930.44,0.01009,1.37892,1.43864,0.56008,0.58398,0.54488,0.30773,0.01182,1.87621,1.81934,0.000707498,0.000707498,0.000707498
53,6043.95,0.00995,1.38101,1.43822,0.57157,0.62915,0.5632,0.31519,0.01169,1.81307,1.85801,0.000693351,0.000693351,0.000693351
